question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
What is the main point of this passage: Add real markdown or text files under docs before final evaluation?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",Add real markdown or text files under docs before final evaluation,simple,0.333,0.25,0.333,0.333
What is the main point of this passage: This offline row exists only to verify that the lab pipeline runs end to end?,Offline baseline answer based on retrieved context. Replace scripts/rag_adapter.py::my_rag_pipeline with the Day 18 RAG pipeline.,"[""No document corpus found. Add .md or .txt files under docs/.""]",This offline row exists only to verify that the lab pipeline runs end to end,simple,0.0,0.188,0.0,0.0
